iter	Passed	Remaining
0	112	111897
1	168	84295
2	225	75092
3	276	68839
4	323	64367
5	373	61794
6	419	59464
7	464	57585
8	517	57026
9	565	56031
10	612	55044
11	661	54468
12	710	53941
13	757	53322
14	806	52956
15	854	52575
16	898	51936
17	941	51364
18	991	51207
19	1034	50713
20	1092	50921
21	1150	51147
22	1200	51012
23	1251	50891
24	1309	51065
25	1353	50691
26	1401	50496
27	1449	50330
28	1492	49978
29	1546	49989
30	1608	50293
31	1657	50128
32	1695	49680
33	1741	49470
34	1783	49182
35	1836	49171
36	1881	48974
37	1929	48855
38	1971	48586
39	2019	48479
40	2065	48319
41	2114	48221
42	2165	48205
43	2213	48097
44	2260	47966
45	2300	47716
46	2343	47526
47	2391	47429
48	2444	47436
49	2490	47310
50	2538	47229
51	2591	47237
52	2637	47124
53	2690	47129
54	2738	47051
55	2782	46900
56	2837	46943
57	2893	46997
58	2957	47170
59	3014	47222
60	3076	47362
61	3156	47754
62	3218	47870
63	3283	48015
64	3339	48044
65	3400	48121
66	3463	48229
67	3510	48114
68	3558	48012
69	3604	47886
70	3656	47842
71	3705	47755
72	3758	47721
73	3808	47659
74	3862	47636
75	3918	47636
76	3966	47545
77	4018	47502
78	4068	47430
79	4120	47387
80	4184	47477
81	4238	47453
82	4288	47379
83	4337	47297
84	4394	47300
85	4443	47227
86	4496	47192
87	4549	47144
88	4601	47101
89	4658	47105
90	4713	47078
91	4759	46973
92	4799	46809
93	4855	46803
94	4903	46712
95	4960	46715
96	5013	46671
97	5061	46583
98	5110	46514
99	5168	46514
100	5217	46437
101	5279	46478
102	5333	46450
103	5379	46350
104	5430	46292
105	5487	46279
106	5530	46160
107	5587	46149
108	5641	46119
109	5689	46037
110	5742	45990
111	5792	45923
112	5851	45934
113	5897	45833
114	5954	45822
115	6013	45828
116	6070	45810
117	6139	45888
118	6193	45849
119	6239	45753
120	6302	45783
121	6353	45722
122	6403	45654
123	6471	45719
124	6524	45670
125	6574	45601
126	6625	45546
127	6676	45486
128	6731	45448
129	6777	45357
130	6830	45312
131	6884	45272
132	6941	45248
133	6998	45232
134	7052	45187
135	7111	45178
136	7158	45091
137	7204	45000
138	7255	44944
139	7307	44890
140	7357	44822
141	7413	44792
142	7458	44700
143	7518	44690
144	7572	44649
145	7631	44639
146	7674	44533
147	7724	44468
148	7769	44372
149	7828	44361
150	7883	44325
151	7933	44260
152	7986	44212
153	8044	44192
154	8091	44109
155	8150	44093
156	8204	44053
157	8262	44029
158	8314	43975
159	8363	43908
160	8412	43839
161	8468	43804
162	8517	43734
163	8581	43746
164	8644	43747
165	8700	43714
166	8749	43644
167	8795	43560
168	8846	43501
169	8903	43469
170	8955	43416
171	9020	43425
172	9085	43433
173	9138	43380
174	9190	43326
175	9240	43261
176	9288	43189
177	9342	43144
178	9397	43104
179	9450	43050
180	9508	43024
181	9565	42992
182	9611	42910
183	9665	42863
184	9720	42820
185	9770	42758
186	9822	42704
187	9871	42635
188	9921	42572
189	9981	42551
190	10042	42538
191	10096	42491
192	10144	42417
193	10198	42369
194	10251	42319
195	10303	42266
196	10352	42199
197	10409	42162
198	10461	42108
199	10519	42079
200	10573	42032
201	10634	42011
202	10689	41969
203	10742	41916
204	10798	41877
205	10856	41846
206	10908	41789
207	10963	41744
208	11026	41730
209	11082	41691
210	11136	41642
211	11193	41606
212	11269	41638
213	11339	41649
214	11405	41643
215	11475	41651
216	11533	41615
217	11585	41558
218	11647	41537
219	11699	41479
220	11759	41450
221	11826	41444
