iter	Accuracy	Logloss
0	0.8207559839	0.6583968067
1	0.8207559839	0.6276556878
2	0.8267094687	0.6016386906
3	0.8307956951	0.5784042634
4	0.8311154311	0.5578391473
5	0.8308724317	0.5400193002
6	0.8304248013	0.5249537667
7	0.8296510401	0.5110815202
8	0.830475959	0.4987382042
9	0.8305271168	0.4876758122
10	0.8296702243	0.4783458337
11	0.8287877528	0.4696914949
12	0.8294336196	0.4616205873
13	0.8295423299	0.454802051
14	0.8311601941	0.4490820301
15	0.8325670327	0.4440776802
16	0.8333280044	0.4384406401
17	0.8325798221	0.4338013971
18	0.8336605299	0.429062945
19	0.8335390302	0.4252442032
20	0.8340633973	0.4213981617
21	0.8336988982	0.4180036916
22	0.8342488442	0.4151516582
23	0.834824369	0.4117533244
24	0.8356301038	0.4089396164
25	0.8356428932	0.4068705661
26	0.8360073923	0.4045297321
27	0.8358219454	0.4030449417
28	0.8363974702	0.400516545
29	0.837273547	0.3986377277
30	0.837478178	0.3969194154
31	0.8376060724	0.3957190705
32	0.8377019932	0.3942660845
33	0.8380153345	0.3931851618
34	0.8384245967	0.3918935947
35	0.8388082799	0.3907249706
36	0.8391344106	0.3897309523
37	0.8395564622	0.3888951624
38	0.8401959342	0.3875941902
39	0.8404645125	0.3867264565
40	0.8408545905	0.3856906088
41	0.8412574578	0.384847175
42	0.8414492995	0.384032979
43	0.841596378	0.3831752705
44	0.8417498513	0.3826436151
45	0.8420248243	0.3820203964
46	0.8424596653	0.3810160938
47	0.8433932945	0.3795307749
48	0.8436426886	0.3783793648
49	0.8437066358	0.3777589104
50	0.8440135824	0.3771497935
51	0.8441670557	0.3766972712
52	0.8443333184	0.3756425463
53	0.8446658439	0.3751732243
54	0.8450559218	0.3744257418
55	0.8451390532	0.3738817839
56	0.845234974	0.3733526171
57	0.8453692631	0.3729157191
58	0.845829683	0.3724884688
59	0.8462453398	0.3719043127
60	0.8463924184	0.3713483643
61	0.8465139181	0.3709267415
