iter	Passed	Remaining
0	128	64021
1	179	44763
2	227	37746
3	274	34067
4	323	32043
5	363	29939
6	400	28230
7	437	26890
8	507	27710
9	577	28280
10	656	29171
11	709	28840
12	787	29497
13	835	29006
14	880	28482
15	933	28243
16	980	27850
17	1036	27764
18	1073	27171
19	1124	26978
20	1168	26647
21	1207	26239
22	1255	26030
23	1297	25743
24	1339	25451
25	1388	25305
26	1425	24964
27	1462	24646
28	1508	24504
29	1548	24263
30	1594	24122
31	1637	23954
32	1678	23750
33	1718	23557
34	1759	23380
35	1803	23241
36	1858	23257
37	1906	23176
38	1965	23229
39	2024	23279
40	2080	23294
41	2130	23235
42	2180	23179
43	2233	23148
44	2291	23164
45	2330	23004
46	2373	22877
47	2422	22814
48	2475	22784
49	2533	22799
50	2599	22886
51	2644	22787
52	2684	22641
53	2715	22429
54	2758	22320
55	2803	22224
56	2846	22124
57	2889	22021
58	2929	21898
59	2975	21818
60	3015	21703
61	3051	21555
62	3092	21454
63	3143	21414
64	3188	21340
65	3227	21225
66	3270	21134
67	3313	21053
68	3361	20999
69	3408	20936
70	3451	20855
71	3497	20792
72	3545	20737
73	3597	20708
74	3643	20644
75	3695	20614
76	3744	20571
77	3788	20495
78	3830	20410
79	3867	20305
80	3910	20227
81	3952	20148
82	3999	20091
83	4045	20036
84	4089	19968
85	4141	19935
86	4177	19830
87	4220	19761
88	4257	19659
89	4308	19627
90	4351	19555
91	4399	19510
92	4438	19426
93	4482	19362
94	4530	19312
95	4578	19268
96	4627	19227
97	4677	19188
98	4722	19129
99	4772	19088
100	4819	19038
101	4873	19015
102	4928	18994
103	4978	18955
104	5026	18908
105	5078	18875
106	5126	18830
107	5179	18799
108	5235	18781
109	5294	18771
110	5338	18707
111	5394	18689
112	5435	18615
113	5481	18560
114	5531	18518
115	5585	18490
116	5635	18447
117	5675	18374
118	5724	18328
119	5777	18296
120	5829	18259
121	5882	18226
122	5924	18159
123	5976	18121
124	6023	18071
125	6066	18007
126	6112	17952
127	6160	17903
128	6208	17855
129	6250	17790
130	6300	17748
131	6350	17704
132	6392	17640
133	6438	17585
134	6478	17516
135	6519	17450
136	6569	17407
137	6609	17337
138	6662	17304
139	6718	17275
140	6770	17238
141	6810	17169
142	6860	17127
143	6900	17058
144	6946	17005
145	6992	16954
146	7046	16921
147	7096	16877
148	7142	16826
149	7190	16777
150	7236	16726
151	7282	16673
152	7323	16610
153	7369	16558
154	7412	16498
155	7455	16439
156	7504	16394
157	7547	16336
158	7588	16274
159	7637	16229
160	7683	16178
161	7730	16128
162	7774	16073
163	7817	16017
164	7858	15955
165	7899	15893
166	7948	15850
167	7993	15797
168	8043	15753
169	8088	15700
170	8137	15655
171	8182	15603
172	8235	15565
173	8283	15519
174	8330	15470
175	8373	15413
176	8418	15361
177	8463	15309
178	8517	15275
179	8570	15236
180	8614	15181
