Group,Subgroup,Sample_Size,Actual_Approval_Rate,Mean_Predicted_Probability,Calibration_Gap,ECE,Brier_Score
Race,Asian,3397,0.7753900500441566,0.6928321,0.08255793773183973,0.08255790492965522,0.08721734631325069
Race,Black,4536,0.6150793650793651,0.512043,0.10303636581178699,0.10303639199394186,0.13297905406698765
Race,Other,1518,0.7378129117259552,0.6414655,0.09634742662997742,0.09634745458192506,0.0916587341553728
Race,White,21476,0.7327249022164276,0.63762397,0.09510093647622375,0.09510093887799179,0.10722036865780736
Age,25-34,9881,0.7884829470701346,0.7128312,0.07565174790097562,0.07565177754796767,0.07684680021796683
Age,35-44,11401,0.7276554688185247,0.6327366,0.09491884553132379,0.09491892851959059,0.10655557063482264
Age,45-54,7981,0.6521739130434783,0.547154,0.10501990370128467,0.10501995131927931,0.12835311019565065
Age,55-64,5057,0.6270516116274472,0.51158357,0.11546804496179774,0.11546799600557515,0.13674593670572577
Age,65-74,2469,0.6289995949777237,0.50672156,0.1222780387910477,0.12227803204735192,0.143229679328683
Age,<25,1433,0.7362177250523377,0.6575015,0.07871620632598886,0.07871618013197282,0.08626086676772433
Age,>74,873,0.6036655211912944,0.49904126,0.10462426190250651,0.10536901035771747,0.14911897429620793
Gender,Female,9432,0.6532018659881256,0.5489421,0.10425977690731503,0.10425980487147991,0.1182816718121116
Gender,Male,14027,0.6804020816995794,0.58329767,0.09710441181203666,0.09710440544236659,0.11371372811827686
County,Bexar,9560,0.7079497907949791,0.615644,0.09230581267608262,0.09230584863058941,0.11137657231324824
County,Dallas,8204,0.7003900536323745,0.60158,0.09881002986681053,0.0988100182931636,0.11486652692728928
County,Harris,16053,0.6976266118482527,0.5968832,0.10074343409098951,0.10074348605615524,0.11177882138256022
County,Travis,5278,0.7360742705570292,0.651289,0.08478528435097454,0.08478523916612524,0.09397309495539398
